"table","field","field_type","field_description"
"fao_trade_data","reporter_countries","character","Reporter country"
"fao_trade_data","partner_countries","character","Partner country"
"fao_trade_data","item_code","integer","FAO code for crop or livestock item"
"fao_trade_data","item","character","Name of crop or livestock item"
"fao_trade_data","element_code","integer","Code corresponding to import/export, quantity/value, and unit"
"fao_trade_data","element","character","Whether trade is reported as export quantity, export value, import quantity, or import value"
"fao_trade_data","year","integer","Year in YYYY format"
"fao_trade_data","unit","character","Units for value"
"fao_trade_data","value","numeric","Value for trade of specific crop or livestock item"
"fao_trade_data","flag","character","Flags (e.g. official figure, estimated value)"
"human_migration_data","type","character","Type of migration. Can be either Emigrants or Immigrants"
"human_migration_data","coverage","character","Coverage of information"
"human_migration_data","od_name","character","Name of country of origin"
"human_migration_data","area","numeric","Code for continent of country of origin"
"human_migration_data","area_name","character","Name for continent of country of origin"
"human_migration_data","reg","numeric","Code for region of country of origin"
"human_migration_data","reg_name","character","Name for region of country of origin"
"human_migration_data","dev","numeric","Code for development status"
"human_migration_data","dev_name","character","Name for development status"
"iucn_data","taxonid","integer","Taxonomic identifier provided by IUCN"
"iucn_data","scientific_name","character","Scientific name"
"iucn_data","subspecies","character","Subspecies name"
"iucn_data","rank","character","Taxonomic rank"
"iucn_data","subpopulation","character","Sub-population name"
"iucn_data","category","character","IUCN Red List classification"
"iucn_data","country","character","Country name"
"vet_population_data","Country","character","Name of reference country"
"vet_population_data","CountryID","character","ISO 3166-1 alpha-3 code for reference country"
"vet_population_data","Year","numeric","Year in YYYY format"
"vet_population_data","Veterinarians - Animal health activities - Public Administration","numeric","Number of veterinarians in animal health activities specifically in public administration"
"vet_population_data","Veterinarians - Animal health activities - Private Accredited Practitioners","numeric","Number of veterinarians in animal health activities specifically as private accredited practitioners"
"vet_population_data","Veterinarians - Animal health activities - total","numeric","Number of veterinarians in animal health activities in total"
"vet_population_data","Veterinarians - Public Health activities - Public Administration","numeric","Number of veterinarians in public health activities specifically in public administration"
"vet_population_data","Veterinarians - Public Health activities - Private Accredited Practitioners","numeric","Number of veterinarians in public health activities specifically as private accredited practitioners"
"vet_population_data","Veterinarians - Public Health activities- total","numeric","Number of veterinarians in public health activities in total"
"vet_population_data","Veterinarians - Laboratories - Public Administration","numeric","Number of veterinarians in laboratories specifically in public administration"
"vet_population_data","Veterinarians - Laboratories - Private Accredited Practitioners","numeric","Number of veterinarians in laboratories specifically as private accredited practitioners"
"vet_population_data","Veterinarians - Laboratories- total","numeric","Number of veterinarians in laboratories in total"
"vet_population_data","Veterinarians - Academic/Training Institutions","numeric","Number of veterinarians in academic/training institutions"
"vet_population_data","Veterinary Paraprofessionals - 'Animal health activities'","numeric","Number of veterinary paraprofessionals in animal health activities"
"vet_population_data","Veterinary Paraprofessionals - 'Community Animal Health workers'","numeric","Number of veterinary paraprofessionals in community animal health activities"
"wb_data","country_iso3c","character","ISO 3166-1 alpha-3 code for reference country"
"wb_data","year","integer","Year in YYYY format"
"wb_data","gdp_dollars","numeric","Value for GDP in US Dollars"
"wb_data","human_population","numeric","Value for human population size"
